Time: 2022-06-17T15:04:22.439565, Epoch: 0, batch: 11200, loss: 0.10418228060007095 
Time: 2022-06-17T15:04:32.795948, Epoch: 0, batch: 11300, loss: 0.0855424702167511 
Time: 2022-06-17T15:04:42.202323, Epoch: 0, batch: 11400, loss: 0.15497338771820068 
Time: 2022-06-17T15:04:51.575169, Epoch: 0, batch: 11500, loss: 0.01845857873558998 
Time: 2022-06-17T15:05:01.180808, Epoch: 0, batch: 11600, loss: 0.11145190894603729 
Time: 2022-06-17T15:05:10.602844, Epoch: 0, batch: 11700, loss: 0.12125475704669952 
Time: 2022-06-17T15:05:20.597068, Epoch: 0, batch: 11800, loss: 0.0847276821732521 
Time: 2022-06-17T15:05:30.237056, Epoch: 0, batch: 11900, loss: 0.15820705890655518 
Time: 2022-06-17T15:05:39.611116, Epoch: 0, batch: 12000, loss: 0.2289094477891922 
Time: 2022-06-17T15:06:44.268777, Epoch: 0, batch: 12100, loss: 0.18855500221252441 
Time: 2022-06-17T15:06:53.617496, Epoch: 0, batch: 12200, loss: 0.055947236716747284 
Time: 2022-06-17T15:07:03.201954, Epoch: 0, batch: 12300, loss: 0.11454588174819946 
Time: 2022-06-17T15:07:12.737378, Epoch: 0, batch: 12400, loss: 0.24897462129592896 
Time: 2022-06-17T15:07:22.246818, Epoch: 0, batch: 12500, loss: 0.053233470767736435 
Time: 2022-06-17T15:07:31.657562, Epoch: 0, batch: 12600, loss: 0.09482407569885254 
Time: 2022-06-17T15:07:41.309939, Epoch: 0, batch: 12700, loss: 0.04738238453865051 
Time: 2022-06-17T15:07:50.946839, Epoch: 0, batch: 12800, loss: 0.04181942716240883 
Time: 2022-06-17T15:08:00.597529, Epoch: 0, batch: 12900, loss: 0.14041708409786224 
Time: 2022-06-17T15:08:10.246664, Epoch: 0, batch: 13000, loss: 0.04661394655704498 
Time: 2022-06-17T15:08:19.766873, Epoch: 0, batch: 13100, loss: 0.056261979043483734 
Time: 2022-06-17T15:08:29.500708, Epoch: 0, batch: 13200, loss: 0.0782509297132492 
Time: 2022-06-17T15:08:39.071012, Epoch: 0, batch: 13300, loss: 0.1682700663805008 
Time: 2022-06-17T15:08:48.659055, Epoch: 0, batch: 13400, loss: 0.04265318438410759 
Time: 2022-06-17T15:08:58.330833, Epoch: 0, batch: 13500, loss: 0.06964905560016632 
Time: 2022-06-17T15:09:07.892659, Epoch: 0, batch: 13600, loss: 0.1573115736246109 
Time: 2022-06-17T15:09:17.516433, Epoch: 0, batch: 13700, loss: 0.27788424491882324 
Time: 2022-06-17T15:09:28.264368, Epoch: 0, batch: 13800, loss: 0.03472293168306351 
Time: 2022-06-17T15:09:37.806672, Epoch: 0, batch: 13900, loss: 0.015748150646686554 
Time: 2022-06-17T15:09:47.390091, Epoch: 0, batch: 14000, loss: 0.21620728075504303 
Time: 2022-06-17T15:10:53.697258, Epoch: 0, batch: 14100, loss: 0.04832722991704941 
Time: 2022-06-17T15:11:03.209883, Epoch: 0, batch: 14200, loss: 0.00755724310874939 
Time: 2022-06-17T15:11:12.960257, Epoch: 0, batch: 14300, loss: 0.05250497907400131 
Time: 2022-06-17T15:11:22.443008, Epoch: 0, batch: 14400, loss: 0.14334353804588318 
Time: 2022-06-17T15:11:31.997918, Epoch: 0, batch: 14500, loss: 0.09452708065509796 
Time: 2022-06-17T15:11:41.538158, Epoch: 0, batch: 14600, loss: 0.14320889115333557 
Time: 2022-06-17T15:11:51.218427, Epoch: 0, batch: 14700, loss: 0.2457519918680191 
Time: 2022-06-17T15:12:01.097158, Epoch: 0, batch: 14800, loss: 0.1903969645500183 
Time: 2022-06-17T15:12:10.756402, Epoch: 0, batch: 14900, loss: 0.19100476801395416 
Time: 2022-06-17T15:12:20.573021, Epoch: 0, batch: 15000, loss: 0.05349734425544739 
Time: 2022-06-17T15:12:30.198156, Epoch: 0, batch: 15100, loss: 0.11281213909387589 
Time: 2022-06-17T15:12:39.888184, Epoch: 0, batch: 15200, loss: 0.20671305060386658 
Time: 2022-06-17T15:12:49.708191, Epoch: 0, batch: 15300, loss: 0.14301340281963348 
Time: 2022-06-17T15:12:59.481091, Epoch: 0, batch: 15400, loss: 0.12368795275688171 
Time: 2022-06-17T15:13:09.365013, Epoch: 0, batch: 15500, loss: 0.03613636642694473 
Time: 2022-06-17T15:13:19.153602, Epoch: 0, batch: 15600, loss: 0.12558938562870026 
Time: 2022-06-17T15:13:28.808392, Epoch: 0, batch: 15700, loss: 0.14373330771923065 
Time: 2022-06-17T15:13:38.731619, Epoch: 0, batch: 15800, loss: 0.16364142298698425 
Time: 2022-06-17T15:13:48.631094, Epoch: 0, batch: 15900, loss: 0.029123855754733086 
Time: 2022-06-17T15:13:58.436985, Epoch: 0, batch: 16000, loss: 0.31477153301239014 
Time: 2022-06-17T15:15:08.404846, Epoch: 0, batch: 16100, loss: 0.16813260316848755 
Time: 2022-06-17T15:15:18.263381, Epoch: 0, batch: 16200, loss: 0.03410153090953827 
Time: 2022-06-17T15:15:28.104542, Epoch: 0, batch: 16300, loss: 0.1353641301393509 
Time: 2022-06-17T15:15:37.576940, Epoch: 0, batch: 16400, loss: 0.08629607409238815 
Time: 2022-06-17T15:15:47.312684, Epoch: 0, batch: 16500, loss: 0.09986984729766846 
Time: 2022-06-17T15:15:57.532075, Epoch: 0, batch: 16600, loss: 0.09825530648231506 
Time: 2022-06-17T15:16:07.227990, Epoch: 0, batch: 16700, loss: 0.038740139454603195 
Time: 2022-06-17T15:16:16.849795, Epoch: 0, batch: 16800, loss: 0.24832794070243835 
Time: 2022-06-17T15:16:26.731714, Epoch: 0, batch: 16900, loss: 0.05354977026581764 
Time: 2022-06-17T15:16:36.314814, Epoch: 0, batch: 17000, loss: 0.06206096336245537 
Time: 2022-06-17T15:16:45.812059, Epoch: 0, batch: 17100, loss: 0.145199254155159 
Time: 2022-06-17T15:16:55.561478, Epoch: 0, batch: 17200, loss: 0.07440713793039322 
Time: 2022-06-17T15:17:05.703950, Epoch: 0, batch: 17300, loss: 0.13416434824466705 
Time: 2022-06-17T15:17:15.543361, Epoch: 0, batch: 17400, loss: 0.08973270654678345 
Time: 2022-06-17T15:17:25.406444, Epoch: 0, batch: 17500, loss: 0.21318216621875763 
Time: 2022-06-17T15:17:35.534957, Epoch: 0, batch: 17600, loss: 0.006182439625263214 
Time: 2022-06-17T15:17:45.282999, Epoch: 0, batch: 17700, loss: 0.0568229965865612 
Time: 2022-06-17T15:17:55.455263, Epoch: 0, batch: 17800, loss: 0.13094034790992737 
Time: 2022-06-17T15:18:05.710425, Epoch: 0, batch: 17900, loss: 0.047254230827093124 
Time: 2022-06-17T15:18:15.640065, Epoch: 0, batch: 18000, loss: 0.17329132556915283 
Time: 2022-06-17T15:19:26.064729, Epoch: 0, batch: 18100, loss: 0.11566229164600372 
Time: 2022-06-17T15:19:36.054939, Epoch: 0, batch: 18200, loss: 0.045959509909152985 
Time: 2022-06-17T15:19:45.797537, Epoch: 0, batch: 18300, loss: 0.06820789724588394 
Time: 2022-06-17T15:19:55.748861, Epoch: 0, batch: 18400, loss: 0.09193885326385498 
Time: 2022-06-17T15:20:06.040640, Epoch: 0, batch: 18500, loss: 0.2508450746536255 
Time: 2022-06-17T15:20:16.003683, Epoch: 0, batch: 18600, loss: 0.15983828902244568 
Time: 2022-06-17T15:20:26.326252, Epoch: 0, batch: 18700, loss: 0.02570846863090992 
Time: 2022-06-17T15:20:36.502909, Epoch: 0, batch: 18800, loss: 0.32085326313972473 
Time: 2022-06-17T15:20:46.898435, Epoch: 0, batch: 18900, loss: 0.06461071968078613 
Time: 2022-06-17T15:20:57.024346, Epoch: 0, batch: 19000, loss: 0.08543265610933304 
Time: 2022-06-17T15:21:07.517898, Epoch: 0, batch: 19100, loss: 0.161007821559906 
Time: 2022-06-17T15:21:17.774939, Epoch: 0, batch: 19200, loss: 0.1448410302400589 
Time: 2022-06-17T15:21:27.781977, Epoch: 0, batch: 19300, loss: 0.12299657613039017 
